year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2017,Calumet,184,322,22,42,0.11956521739130435,0.13043478260869565
2017,Cicero,636,951,52,119,0.08176100628930817,0.12513144058885384
2017,Elk Grove,1264,1479,55,259,0.043512658227848104,0.17511832319134552
2017,Evanston,1127,1314,67,148,0.05944986690328305,0.1126331811263318
2017,Hanover,1787,1835,63,87,0.035254616675993285,0.04741144414168937
2017,Hyde Park,4016,7205,836,2060,0.20816733067729085,0.28591256072172105
2017,Jefferson,6952,9651,619,1478,0.08903912543153049,0.15314475183918766
2017,Lake,6470,9382,910,1826,0.14064914992272023,0.19462801108505648
2017,Lake View,6140,7367,498,940,0.08110749185667752,0.1275960363784444
2017,Lemont,378,413,18,35,0.047619047619047616,0.0847457627118644
2017,Leyden,1227,1490,95,181,0.07742461287693561,0.12147651006711409
2017,Lyons,1624,2037,102,223,0.06280788177339902,0.1094747177221404
2017,Maine,2191,2390,103,159,0.04701049748973072,0.06652719665271967
2017,New Trier,1092,1158,89,142,0.0815018315018315,0.1226252158894646
2017,Niles,1628,1925,73,122,0.04484029484029484,0.06337662337662338
2017,North Chicago,3586,3966,218,436,0.06079196876742889,0.10993444276348967
2017,Northfield,1611,1693,106,170,0.06579764121663563,0.10041346721795628
2017,Norwood Park,396,492,23,98,0.05808080808080808,0.1991869918699187
2017,Oak Park,995,1110,65,82,0.06532663316582915,0.07387387387387387
2017,Orland,1760,1862,79,117,0.044886363636363634,0.06283566058002148
2017,Palatine,1996,2133,77,168,0.03857715430861723,0.07876230661040788
2017,Palos,762,795,27,38,0.03543307086614173,0.04779874213836478
2017,Proviso,2221,2812,185,354,0.08329581269698334,0.12588904694167852
2017,Rich,1574,1734,211,272,0.1340533672172808,0.1568627450980392
2017,River Forest,237,270,10,29,0.04219409282700422,0.10740740740740741
2017,Riverside,305,384,13,40,0.04262295081967213,0.10416666666666667
2017,Rogers Park,1110,1686,97,277,0.08738738738738738,0.16429418742586002
